REALbasic,recalled redirect to "Xojo",
SVG,recalled redirect to "Scalable_Vector_Graphics",
SCSS,recalled redirect to "Sass_(stylesheet_language)",
SaltStack,recalled redirect to "Salt_(software)",
Pep8,recalled redirect to "Python_(programming_language)",
GLSL,recalled redirect to "OpenGL_Shading_Language",
Objective-C++,recalled redirect to "Objective-C",
MQL4,recalled redirect to "MetaQuotes_Language_MQL4/MQL5",
HLSL,recalled redirect to "High-Level_Shading_Language",
GDB,recalled redirect to "GNU_Debugger",
EBNF,recalled redirect to "Extended_Backus–Naur_Form",
RHTML,recalled redirect to "ERuby",
EJS,recalled redirect to "Easy_Java_Simulations",
Diff,recalled redirect to "Diff_utility",
CSS,recalled redirect to "Cascading_Style_Sheets",
BlitzMax,recalled redirect to "Blitz_BASIC",
ColdFusion,recalled redirect to "Adobe_ColdFusion",
ASN.1,recalled redirect to "Abstract_Syntax_Notation_One",
ABAP,recalled,
ActionScript,recalled,
Ada,recalled as "Ada_(programming_language)"
Adobe Font Metrics,mentioned at "PostScript_fonts#AFM",
Agda,recalled as "Agda_(programming_language)",
Alloy,recalled as "Alloy_(specification_language)",
AMPL,recalled,
AngelScript,recalled,
ANTLR,recalled,
APL,recalled as "APL_(programming_language)",
Apollo Guidance Computer,recalled as "Apollo_Guidance_Computer",
AppleScript,recalled,
Arc,recalled as "Arc_(programming_language)",
AsciiDoc,recalled,
AspectJ,recalled,
Assembly,recalled as "Assembly_language",
ATS,recalled as "ATS_(programming_language)",
AutoHotkey,recalled,
AutoIt,recalled,
Awk,recalled as "AWK",
Batchfile,recalled as "Batch_file",
Befunge,recalled,
BitBake,recalled,
BlitzBasic,recalled as "Blitz_BASIC",
Boo,recalled as "Boo_(programming_language)",
Brainfuck,recalled,
Bro,mentioned at "Bro_(software)",
C,recalled as "C_(programming_language)",
C++,recalled,
Ceylon,recalled as "Ceylon_(programming_language)",
Chapel,recalled as "Chapel_(programming_language)",
Charity,recalled as "Charity_(programming_language)",
ChucK,recalled,
Clarion,recalled as "Clarion_(programming_language)",
Clean,recalled as "Clean_(programming_language)",
CLIPS,recalled,
Clojure,recalled,
CMake,recalled,
COBOL,recalled,
CoffeeScript,recalled,
COLLADA,recalled,
Common Lisp,recalled as "Common_Lisp",
Component Pascal,recalled as "Component_Pascal",
Cool,recalled as "Cool_(programming_language)",
Coq,recalled,
Creole,recalled as "Creole_(markup)",
Crystal,recalled as "Crystal_(programming_language)",
Csound,recalled,
CWeb,recalled as "CWEB",
Cython,recalled,
D,recalled as "D_(programming_language)",
Dart,recalled as "Dart_(programming_language)",
DIGITAL Command Language,recalled as "DIGITAL_Command_Language",
DTrace,recalled,
Dylan,recalled as "Dylan_(programming_language)",
E,recalled as "E_(programming_language)",
Eagle, mentioned at "EAGLE_(program)",
eC,recalled as "EC_(programming_language)",
ECL,recalled as "ECL_(data-centric_programming_language)",
ECLiPSe,recalled,
Eiffel,recalled as "Eiffel_(programming_language)",
Elixir,recalled as "Elixir_(programming_language)",
Elm,recalled as "Elm_(programming_language)",
Emacs Lisp,recalled as "Emacs_Lisp",
Erlang,recalled as "Erlang_(programming_language)",
Factor,recalled as "Factor_(programming_language)",
Fancy,no mention, mismatched if you search for it on Wikipedia
Fantom,recalled as "Fantom_(programming_language)",
fish,no mention,
Forth,recalled as "Forth_(programming_language)",
Fortran,recalled,
FreeMarker,recalled,
Frege,recalled as "Frege_(programming_language)",
G-code,recalled,
GAP,recalled as "GAP_(computer_algebra_system)",
Genie,recalled as "Genie_(programming_language)",
