REALbasic,recalled redirect to "Xojo",
SVG,recalled redirect to "Scalable_Vector_Graphics",
SCSS,recalled redirect to "Sass_(stylesheet_language)",
SaltStack,recalled redirect to "Salt_(software)",
Pep8,recalled redirect to "Python_(programming_language)",
GLSL,recalled redirect to "OpenGL_Shading_Language",
Objective-C++,recalled redirect to "Objective-C",
MQL4,recalled redirect to "MetaQuotes_Language_MQL4/MQL5",
HLSL,recalled redirect to "High-Level_Shading_Language",
GDB,recalled redirect to "GNU_Debugger",
EBNF,recalled redirect to "Extended_Backus–Naur_Form",
RHTML,recalled redirect to "ERuby",
EJS,recalled redirect to "Easy_Java_Simulations",
Diff,recalled redirect to "Diff_utility",
CSS,recalled redirect to "Cascading_Style_Sheets",
BlitzMax,recalled redirect to "Blitz_BASIC",
ColdFusion,recalled redirect to "Adobe_ColdFusion",
ASN.1,recalled redirect to "Abstract_Syntax_Notation_One",
ABAP,recalled,
ActionScript,recalled,
Ada,recalled,
Adobe Font Metrics,recalled,
Agda,recalled,
Alloy,recalled,
AMPL,recalled,
AngelScript,recalled,
ANTLR,recalled,
APL,recalled,
Apollo Guidance Computer,recalled,
AppleScript,recalled,
Arc,recalled,
AsciiDoc,recalled,
AspectJ,recalled,
Assembly,recalled,
ATS,recalled,
AutoHotkey,recalled,
AutoIt,recalled,
Awk,recalled,
Batchfile,recalled,
Befunge,recalled,
BitBake,recalled,
BlitzBasic,recalled,
Boo,recalled,
Brainfuck,recalled,
Bro,recalled,
C,recalled,
C++,recalled,
Ceylon,recalled,
Chapel,recalled,
Charity,recalled,
ChucK,recalled,
Clarion,recalled,
Clean,recalled,
CLIPS,recalled,
Clojure,recalled,
CMake,recalled,
COBOL,recalled,
CoffeeScript,recalled,
COLLADA,recalled,
Common Lisp,recalled,
Component Pascal,recalled,
Cool,recalled,
Coq,recalled,
Creole,recalled,
Crystal,recalled,
Csound,recalled,
CWeb,recalled,
Cython,recalled,
D,recalled,
Dart,recalled,
DIGITAL Command Language,recalled,
DTrace,recalled,
Dylan,recalled,
E,recalled,
Eagle,recalled,
eC,recalled,
ECL,recalled,
ECLiPSe,recalled,
Eiffel,recalled,
Elixir,recalled,
Elm,recalled,
Emacs Lisp,recalled,
Erlang,recalled,
Factor,recalled,
Fancy,recalled,
Fantom,recalled,
fish,recalled,
Forth,recalled,
Fortran,recalled,
FreeMarker,recalled,
Frege,recalled,
G-code,recalled,
GAP,recalled,
Genie,recalled,
Genshi,recalled,
Gnuplot,recalled,
Go,recalled,
Golo,recalled,
Gosu,recalled,
Gradle,recalled,
Grammatical Framework,recalled,
GraphQL,recalled,
Graphviz (DOT),recalled,
Groovy,recalled,
Groovy Server Pages,recalled,
Hack,recalled,
Haml,recalled,
Handlebars,recalled,
Harbour,recalled,
Haskell,recalled,
Haxe,recalled,
HTML,recalled,
Hy,recalled,
IDL,recalled,
Idris,recalled,
Inno Setup,recalled,
Io,recalled,
Ioke,recalled,
Isabelle,recalled,
J,recalled,
Jasmin,recalled,
Java,recalled,
Java Server Pages,recalled,
JavaScript,recalled,
Jolie,recalled,
JSON,recalled,
JSONiq,recalled,
Julia,recalled,
Kotlin,recalled,
KRL,recalled,
LabVIEW,recalled,
Lasso,recalled,
Less,recalled,
Lex,recalled,
LFE,recalled,
LilyPond,recalled,
Limbo,recalled,
LiveScript,recalled,
LLVM,recalled,
Logtalk,recalled,
LOLCODE,recalled,
Lua,recalled,
M,recalled,
M4,recalled,
Makefile,recalled,
Mako,recalled,
Markdown,recalled,
Matlab,recalled,
Max,recalled,
MediaWiki,recalled,
Mercury,recalled,
Meson,recalled,
Metal,recalled,
MiniD,recalled,
Mirah,recalled,
Modelica,recalled,
Modula-2,recalled,
mupad,recalled,
Nemerle,recalled,
nesC,recalled,
NetLogo,recalled,
NewLisp,recalled,
Nginx,recalled,
Nim,recalled,
NL,recalled,
Nu,recalled,
NumPy,recalled,
Objective-C,recalled,
Objective-J,recalled,
OCaml,recalled,
Opa,recalled,
Opal,recalled,
OpenSCAD,recalled,
Ox,recalled,
Oxygene,recalled,
Oz,recalled,
P4,recalled,
Pan,recalled,
Papyrus,recalled,
Pascal,recalled,
PAWN,recalled,
Perl,recalled,
Perl 6,recalled,
PHP,recalled,
Pickle,recalled,
PicoLisp,recalled,
Pike,recalled,
PLpgSQL,recalled,
PLSQL,recalled,
PostCSS,recalled,
PostScript,recalled,
PowerBuilder,recalled,
PowerShell,recalled,
Processing,recalled,
Prolog,recalled,
Puppet,recalled,
Pure Data,recalled,
PureBasic,recalled,
PureScript,recalled,
Python,recalled,
QMake,recalled,
QML,recalled,
R,recalled,
Racket,recalled,
Ragel,recalled,
RAML,recalled,
Rebol,recalled,
Red,recalled,
Regular Expression,recalled,
'Ren''Py',recalled,
reStructuredText,recalled,
REXX,recalled,
Ring,recalled,
RobotFramework,recalled,
Ruby,recalled,
RUNOFF,recalled,
Rust,recalled,
Sage,recalled,
SAS,recalled,
Sass,recalled,
Scala,recalled,
Scheme,recalled,
Scilab,recalled,
Self,recalled,
Slash,recalled,
Smalltalk,recalled,
Smarty,recalled,
SPARQL,recalled,
SQL,recalled,
SQLPL,recalled,
Squirrel,recalled,
Stan,recalled,
Standard ML,recalled,
Stata,recalled,
Stylus,recalled,
SuperCollider,recalled,
Swift,recalled,
SystemVerilog,recalled,
Tcl,recalled,
Tcsh,recalled,
Tea,recalled,
TeX,recalled,
Text,recalled,
Textile,recalled,
TOML,recalled,
Turing,recalled,
Turtle,recalled,
Twig,recalled,
TXL,recalled,
TypeScript,recalled,
Unified Parallel C,recalled,
Vala,recalled,
Verilog,recalled,
VHDL,recalled,
Vim script,recalled,
Visual Basic,recalled,
Web Ontology Language,recalled,
WebAssembly,recalled,
WebIDL,recalled,
X10,recalled,
xBase,recalled,
XC,recalled,
XML,recalled,
Xojo,recalled,
XProc,recalled,
XQuery,recalled,
XS,recalled,
XSLT,recalled,
Xtend,recalled,
Yacc,recalled,
YAML,recalled,
YANG,recalled,
ABNF, recalled redirect to "Augmented_Backus–Naur_Form",
XPM, recalled as "X_PixMap",
Mathematica, recalled as "Wolfram_Mathematica",
Wavefront Object, recalled as "Wavefront .obj file",
UrWeb, recalled as "Ur_(programming_language)",
TLA, recalled as "TLA+",
TI Program, recalled as "TI-BASIC",
SubRip Text, recalled as "SubRip",
Rascal, recalled as "RascalMPL",
Pod, recalled as "Plain_Old_Documentation",
Pic, recalled as "Pic_language",
Parrot Assembly, recalled as "Parrot_assembly_language",
OpenEdge ABL, recalled as "OpenEdge Advanced Business Language",
Monkey, recalled as "Monkey_X",
MQL5, recalled as "MetaQuotes_Language_MQL4/MQL5",
LSL, recalled as "Linden_Scripting_Language",
JSONLD, recalled as "JSON-LD",
INI, recalled as "INI_file",
Inform 7, recalled as "Inform",
Bison, recalled as "GNU_bison",
Gerber Image, recalled as "Gerber_format",
GAMS, recalled as "General_Algebraic_Modeling_System",
F#, recalled as "F_Sharp_(programming_language)",
Gentoo Ebuild, recalled as "Ebuild",
Csound Document, recalled as "Csound",
C#, recalled as "C_Sharp_(programming language)",
Thrift, recalled as "Apache Thrift",
ASP, recalled as "Active Server Pages (ASP)",
CSV, recalled ,
edn, recalled,
Graph Modeling Language, recalled,
Protocol Buffer, recalled,
Parrot, no mention , not matchable from "Parrot_virtual_machine"
Alpine Abuild, no mention,
Ballerina, no mention,
C-ObjDump, no mention,
C2hs Haskell, no mention,
Cirru, no mention,
Click, no mention,
Common Workflow Language, no mention,
Cpp-ObjDump, no mention,
CSON, no mention,
D-ObjDump, no mention,
DataWeave, no mention,
desktop, no mention,
DM, no mention,
DNS Zone, no mention,
Dogescript, no mention,
Easybuild, no mention,
Edje Data Collection, no mention,
EmberScript, no mention,
EQ, no mention,
Filebench WML, no mention,
FLUX, no mention, not clear whether it matches "Flux (software)"
Formatted, no mention, no github projects via trending
Gentoo Eclass, no mention,
Glyph, no mention,
GN, no mention,
Grace, no mention,
HCL, no mention, trace leads to Terraform (software)
HTML+Django, no mention,' template language is not mentioned in Django''s article'
HTML+ECR, no mention, no trending repositories at github 
HTML+EEX, no mention,
IRC log, no mention, no trending projects at github
Isabelle ROOT, no mention, they keyword "ROOT" cannot be matched at "Isabelle (proof assistant)" as https://github.com/pirapira/eth-isabelle/blob/master/ROOT suggests
Jison, no mention,
Jison Lex, no mention,
JSON5, no mention,
KiCad Legacy Layout, no mention, no trending repos at github
Kit, no mention,
Latte, no mention, unclear "Nette_Framework" or "Scrivener_(software)"
Lean, no mention,
Logos, no mention, unclear relationship to Logo (programming language)
LookML, no mention,
LoomScript, no mention,
M4Sugar, no mention,
Marko, no mention,
Mask, no mention, unclear relationship to Concept "Mask (computing)"
Moocode, no mention,
MTML, no mention,
NCL, no mention, unclear relationship to "Nested_Context_Language" or "NCAR_Command_Language"
NetLinx+ERB, no mention,
Nit, no mention,
Omgrofl, no mention,
OpenRC runscript, no mention,
Org, no mention,
PogoScript, no mention,
Pony, no mention,
Propeller Spin, no mention,
Public Key, no mention, no trending on github
Pug, no mention, unclear relationship to "Pugs_(programming)" no trending at github
Python console, no mention, no trending at github
Python traceback, no mention, no trending at github
Raw token data, no mention, no trending at github
Reason, no mention,
RMarkdown, no mention, no trending at github
Rouge, no mention, cannot find code at github repos marked as using Rouge
Scaml, no mention, no trending repos at github
Shell, no mention, mixes bash and batch into one pot on github
ShellSession, no mention, unclear match
Shen, no mention,
Slim, no mention, no trending repos on github
Smali, no mention,
SMT, no mention, not clear what language is used to persist "Satisfiability_modulo_theories" problems
SourcePawn, no mention,
SRecode Template, no mention, could be "Redis" but "template" is not mentioned there
STON, no mention, no repo at github
Sublime Text Config, no mention, no repo at github
SugarSS, no mention,
Terra, no mention,
Type Language, no mention, no repos at github
Unity3D Asset, no mention, expected at "Unity_(game_engine)"
Uno, no mention, expected at "Fusebox_(programming)"
Volt, no mention,
wdl, no mention,
wisp, no mention,
World of Warcraft Addon Data, no mention, no repos at github
XCompose, no mention, no repos at github
YARA, mentioned in "YARA",
XPages, mentioned in "XPages",
Wavefront Material, mentioned in "Wavefront .obj file",
Vue, mentioned in "Vue.js",
ShaderLab, mentioned in "Visual_Studio_Code",
VCL, mentioned in "Varnish_(software)",
UnrealScript, mentioned in "Unreal_Engine",
MUF, mentioned in "TinyMUCK",
POV-Ray SDL, mentioned in "SDL_(disambiguation)", "POV-RAY" as software
Apex, mentioned in "Salesforce.com" ,
RPM Spec, mentioned in "rpm (software)",
Brightscript, mentioned in "Roku",
Roff, mentioned in "roff (computer program)", more clearly in "Troff"
Filterscript, mentioned in "RenderScript",
RenderScript, mentioned in "RenderScript",
Redcode, mentioned in "Redcode_(disambiguation)",
JSX, mentioned in "React_(JavaScript_library)",
RDoc, mentioned in "RDoc",
Myghty, mentioned in "Pylons_project",
Gettext Catalog, mentioned in "Poedit",
PigLatin, mentioned in "Pig_(programming_tool)",
HTML+PHP, mentioned in "PHP",
Zephir, mentioned in "PHP",
Parrot Internal Representation, mentioned in "Parrot_intermediate_representation",
API Blueprint, mentioned in "Overview_of_RESTful_API_Description_Languages",
OpenType Feature File, mentioned in "OpenType",
OpenCL, mentioned in "OpenCL",
ObjDump, mentioned in "Objdump",
NSIS, mentioned in "Nullsoft_Scriptable_Install_System",
Nix, mentioned in "Nix_package_manager",
Ninja, mentioned in "Ninja_(build_system)",
NetLinx, mentioned in "NetLinx",
Module Management System, mentioned in "MMS (disambiguation)",
MoonScript, mentioned in "Lua_(programming_language)",
Linux Kernel Module, mentioned in "Loadable_kernel_module",
Literate Agda, mentioned in "Literate_programming",
Literate CoffeeScript, mentioned in "Literate_programming",
Literate Haskell, mentioned in "Literate_programming",
SQF, mentioned in "List_of_file_formats",
Zimpl, mentioned in "Linear_programming",
Cycript, mentioned in "libffi",
Blade, mentioned in "Laravel",
KiCad Layout, mentioned in "KiCad", may be Pcbnew
KiCad Schematic, mentioned in "KiCad", may be Eeschema
Jupyter Notebook, mentioned in "IPython and Notebook_interface",
IGOR Pro, mentioned in "IGOR Pro",
